Статистика по данным Яндекс WORDSTAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата;человеческий фактор;human factor;человеческий фактор;human factor;человек-машина;human-machine;человек-машина;human-machine;инженерная психология;engineering psychology;инженерная психология;engineering psychology;инженер-психолог;psychologist;инженер-психолог;psychologist;оператор систем управления;system operator;оператор систем управления;system operator;безопасность труда;"safe work
";безопасность труда;"safe work
";охрана труда;Occupational Safety and Health;охрана труда;occupational Safety and Health;управление производственного риска;occupational risk;управление производственного риска;occupational risk;эргономика;ergonomics;эргономика;ergonomics;психология труда;labor psychology;психология труда;labor psychology;профессиональный коллектив;professional team;профессиональный коллектив;professional team;оператор коллектива; team operator;оператор коллектива; team operator;инженерное образование;engineering education;инженерное образование;engineering education;инженер-эргономист;ergonomic engineer;;;;
01.07.2018 - 31.07.2018;0,000001327870;0,000000069654;24;24;0,000011934982;0,000000179904;19;24;0,000000139864;0,000000000000;21;20;0,000000010288;0,000000241216;12;23;0,000000011957;0,000000047131;19;8;0,000012766378;0,000000077022;21;12;0,000148692264;0,000000042126;14;6;0,000000034618;0,000000002224;22;22;0,000003569859;0,000000047409;22;23;0,000000495223;0,000000000000;22;14;0,000000297106;0,000000049216;23;8;0,000000006117;0,000000000000;5;18;0,000000472978;0,000000032811;23;23;0,000000001251;0,000000000000;;;;
01.08.2018 - 31.08.2018;0,000001398981;0,000000071530;21;23;0,000012009064;0,000000390240;18;2;0,000000115304;0,000000000000;23;20;0,000000005662;0,000000229918;23;24;0,000000009252;0,000000052060;24;4;0,000012178499;0,000000066835;22;21;0,000138562411;0,000000038527;19;16;0,000000036179;0,000000001657;21;24;0,000004353399;0,000000060759;12;20;0,000000481241;0,000000000000;23;14;0,000000316362;0,000000037008;21;21;0,000000004557;0,000000000000;16;18;0,000000468260;0,000000029137;24;24;0,000000000000;0,000000000000;;;;
01.09.2018 - 30.09.2018;0,000002895890;0,000000092776;5;14;0,000012034381;0,000000568484;17;1;0,000000393651;0,000000000000;2;20;0,000000013183;0,000000455009;3;7;0,000000012937;0,000000043246;18;13;0,000015100423;0,000000067025;15;20;0,000151480059;0,000000040536;12;10;0,000000060495;0,000000005668;8;5;0,000005410697;0,000000072077;1;16;0,000001421825;0,000000000000;7;14;0,000000467330;0,000000037209;19;20;0,000000003450;0,000000000616;24;9;0,000000625406;0,000000069490;6;2;0,000000000000;0,000000000000;;;;
01.10.2018 - 31.10.2018;0,000003516361;0,000000099347;2;7;0,000012209984;0,000000258704;13;6;0,000000354976;0,000000000000;5;20;0,000000008906;0,000000518362;15;2;0,000000018024;0,000000052483;9;3;0,000016551229;0,000000076551;7;13;0,000168045155;0,000000051847;3;1;0,000000054391;0,000000005089;15;11;0,000005154785;0,000000076021;3;13;0,000001557314;0,000000000000;2;14;0,000000826793;0,000000051423;1;4;0,000000007210;0,000000000000;1;18;0,000000680371;0,000000071356;1;1;0,000000000000;0,000000000000;;;;
01.11.2018 - 30.11.2018;0,000002630154;0,000000099182;9;8;0,000012661058;0,000000204562;10;20;0,000000354253;0,000000000000;6;20;0,000000011709;0,000000500271;4;4;0,000000015268;0,000000075534;14;1;0,000016301856;0,000000075190;8;15;0,000160682507;0,000000046951;7;3;0,000000058430;0,000000005395;12;8;0,000004982736;0,000000090572;4;8;0,000001479921;0,000000000000;4;14;0,000000693584;0,000000049476;2;7;0,000000003788;0,000000002181;22;4;0,000000612884;0,000000065547;9;6;0,000000001033;0,000000000000;;;;
01.12.2018 - 31.12.2018;0,000002930105;0,000000100971;4;3;0,000013054609;0,000000236855;6;7;0,000000345698;0,000000000000;7;20;0,000000017000;0,000000470286;1;6;0,000000015402;0,000000057274;13;2;0,000015504160;0,000000078837;12;10;0,000140111092;0,000000037650;18;18;0,000000048831;0,000000004906;18;12;0,000005297624;0,000000106790;2;4;0,000001449650;0,000000000000;5;14;0,000000586204;0,000000041187;7;17;0,000000003879;0,000000000799;20;6;0,000000556312;0,000000069140;20;4;0,000000002396;0,000000000000;;;;
01.01.2019 - 31.01.2019;0,000002473693;0,000000072423;13;22;0,000012749546;0,000000228471;8;12;0,000000310875;0,000000000000;18;20;0,000000008762;0,000000382966;16;15;0,000000023180;0,000000044918;4;11;0,000013190517;0,000000063218;20;22;0,000132039256;0,000000029834;22;22;0,000000042478;0,000000001775;19;23;0,000004277502;0,000000075528;17;14;0,000001335000;0,000000000000;13;14;0,000000514835;0,000000045472;13;12;0,000000004658;0,000000002440;15;2;0,000000571398;0,000000060778;18;8;0,000000001109;0,000000000000;;;;
01.02.2019 - 28.02.2019;0,000002414735;0,000000090363;17;15;0,000013738223;0,000000216055;1;16;0,000000319944;0,000000000000;14;20;0,000000008162;0,000000407858;19;11;0,000000010261;0,000000046056;23;10;0,000016087313;0,000000059232;9;24;0,000163447841;0,000000038477;6;17;0,000000041975;0,000000005247;20;9;0,000004661920;0,000000081968;6;9;0,000001196874;0,000000000000;19;14;0,000000464058;0,000000050603;20;6;0,000000006296;0,000000003032;3;1;0,000000584037;0,000000050020;14;15;0,000000001516;0,000000000000;;;;
01.03.2019 - 31.03.2019;0,000002399343;0,000000099875;18;6;0,000013340458;0,000000219814;2;14;0,000000299737;0,000000000000;19;20;0,000000011481;0,000000409087;6;10;0,000000017946;0,000000049492;10;5;0,000015943229;0,000000077470;10;11;0,000164647307;0,000000041355;5;8;0,000000058743;0,000000004682;10;13;0,000004394727;0,000000077470;11;11;0,000001239633;0,000000000000;18;14;0,000000548979;0,000000047262;10;10;0,000000004347;0,000000002341;17;3;0,000000591225;0,000000053170;13;12;0,000000001449;0,000000000000;;;;
01.04.2019 - 30.04.2019;0,000002650246;0,000000114372;8;1;0,000013255381;0,000000215930;3;17;0,000000264811;0,000000002492;20;5;0,000000010322;0,000000402555;11;12;0,000000022424;0,000000037966;6;20;0,000019134375;0,000000105829;4;4;0,000193620861;0,000000040457;2;11;0,000000068813;0,000000003322;2;18;0,000004338060;0,000000073559;13;15;0,000001270784;0,000000002847;16;1;0,000000585503;0,000000043423;8;14;0,000000004983;0,000000001305;13;5;0,000000582537;0,000000047220;15;18;0,000000002610;0,000000000000;;;;
